Date,Min_temp,Max_temp,Rainfall,Evaporation,Sunshine,Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust,9am_temp,9am_humidity,9am_cloud_amount,9am wind direction,9am_wind_speed,9am_pressure,3pm_temp,3pm_humidity,3pm_cloud_amount,3pm wind direction,3pm_wind_speed,3pm_pressure,Time_of_maximum_wind_gust,PRICECATEGORY,TOTALDEMAND
737896,11.5,15.1,1.0,4.2,1.3,202.5,24.0,12.3,75.0,7,22.5,6,1024.2,14.5,56,7.0,180.0,7,1023.9,10:53,1,6202.21
737897,12.3,17.7,0.0,3.2,3.7,157.5,22.0,14.2,50.0,7,270.0,9,1025.6,16.7,50,7.0,180.0,13,1024.0,14:57,1,5450.82
737898,13.1,18.8,0.0,3.2,0.7,337.5,20.0,14.9,77.0,7,315.0,2,1023.5,17.5,64,7.0,180.0,2,1020.3,11:20,1,5572.65
737899,12.0,20.6,0.0,2.8,2.3,315.0,30.0,15.3,64.0,6,0.0,9,1018.4,18.9,47,6.0,337.5,15,1014.1,13:27,1,5937.22
737900,14.0,18.7,0.0,5.6,1.9,202.5,44.0,16.3,53.0,5,0.0,9,1011.0,11.4,88,7.0,270.0,6,1011.0,19:42,1,6632.03
737901,7.1,14.9,10.4,0.2,7.7,0.0,19.0,10.0,65.0,1,315.0,2,1019.2,14.2,48,6.0,180.0,7,1015.4,23:00,1,6539.68
737902,9.9,17.0,0.0,4.0,1.6,247.5,30.0,13.4,62.0,7,337.5,13,1013.3,16.8,46,7.0,292.5,9,1012.0,16:15,1,6464.1
737903,12.1,17.3,0.4,3.0,2.0,247.5,31.0,14.7,66.0,7,270.0,11,1018.6,16.4,51,7.0,247.5,9,1018.5,9:24,1,6154.8
737904,13.1,18.3,0.0,3.2,1.8,315.0,30.0,15.1,56.0,7,337.5,15,1023.2,17.3,58,7.0,157.5,2,1021.8,13:06,1,5763.75
737905,9.9,17.8,2.6,1.2,3.6,202.5,24.0,12.8,83.0,6,0.0,2,1027.0,16.0,70,7.0,202.5,4,1025.2,19:10,1,5835.47
737906,10.9,17.9,1.2,2.2,0.8,202.5,20.0,13.6,83.0,7,225.0,6,1027.9,16.1,68,7.0,180.0,9,1027.1,10:50,1,6436.32
737907,11.8,16.6,0.6,2.0,0.9,270.0,19.0,13.4,87.0,7,247.5,9,1029.5,16.3,73,7.0,202.5,11,1026.7,8:57,1,6487.76
737908,7.4,16.9,0.4,3.0,9.5,202.5,22.0,12.3,87.0,1,0.0,9,1026.4,14.8,70,5.0,180.0,13,1023.9,15:03,1,6461.27
737909,8.2,18.4,0.0,2.2,9.9,202.5,17.0,12.0,83.0,1,0.0,9,1025.1,17.5,66,2.0,202.5,9,1022.9,13:44,1,6405.5
737910,9.5,24.4,0.0,0.0,10.2,0.0,30.0,12.5,83.0,1,22.5,13,1027.0,23.9,32,0.0,0.0,15,1024.0,12:05,1,5887.34
737795,11.2,24.6,0.0,5.4,7.1,0.0,33.0,14.9,63.0,3,22.5,9,1027.3,24.2,35,7.0,0.0,17,1024.4,12:48,1,5261.09
737826,13.7,26.0,0.0,6.4,3.8,0.0,39.0,17.5,59.0,7,22.5,7,1023.3,25.3,36,2.0,0.0,20,1018.9,14:18,1,5289.07
737854,12.5,18.2,0.2,6.8,0.8,180.0,28.0,15.0,80.0,7,225.0,7,1019.6,17.0,74,7.0,202.5,9,1017.6,18:35,1,6183.0
737885,9.4,15.5,30.8,4.6,0.1,180.0,39.0,12.0,100.0,7,0.0,9,1019.9,14.4,78,8.0,180.0,19,1021.5,14:46,1,6663.33
737915,7.2,17.3,0.0,0.8,9.1,202.5,30.0,12.2,83.0,1,0.0,9,1026.0,17.0,52,5.0,202.5,9,1023.4,12:37,1,6389.08
737946,7.6,22.2,0.0,2.0,8.4,157.5,19.0,10.8,83.0,1,45.0,6,1021.6,21.6,56,1.0,292.5,2,1016.8,0:01,1,6342.41
737976,10.5,21.5,0.2,2.4,3.6,45.0,15.0,13.9,91.0,4,0.0,7,1014.8,20.2,37,6.0,202.5,13,1011.3,6:35,1,5957.64
738007,9.9,19.8,0.0,2.8,5.1,225.0,24.0,15.1,76.0,2,270.0,4,1013.9,17.3,69,7.0,202.5,6,1013.4,16:55,1,5517.34
738038,11.0,20.5,0.4,0.0,7.1,315.0,28.0,13.7,97.0,6,0.0,9,1018.4,19.5,45,3.0,292.5,6,1014.9,13:06,1,5222.89
738068,11.7,16.9,0.2,3.8,0.5,0.0,41.0,14.3,68.0,7,0.0,19,1010.2,16.2,56,7.0,337.5,13,1007.6,13:18,1,6352.55
738099,10.7,16.3,15.8,2.8,0.1,180.0,41.0,12.2,100.0,8,202.5,9,1018.7,15.7,71,7.0,135.0,17,1021.3,4:50,1,6578.07
738129,7.3,18.5,0.8,2.6,8.8,157.5,24.0,11.0,84.0,3,22.5,7,1024.8,17.9,52,1.0,202.5,13,1019.6,3:04,1,6406.0
737923,8.1,17.6,0.0,1.2,1.0,337.5,39.0,14.0,65.0,7,0.0,15,1012.5,13.1,90,8.0,315.0,9,1011.1,11:57,1,6679.05
737924,7.8,15.6,4.2,2.4,4.5,270.0,35.0,11.5,71.0,3,315.0,11,1014.5,13.5,67,3.0,247.5,6,1013.6,11:04,1,6493.23
737925,7.3,12.9,7.4,2.4,7.5,202.5,54.0,8.6,72.0,4,270.0,13,1018.1,11.9,59,6.0,202.5,11,1020.5,4:25,1,6319.27
737926,8.3,15.5,0.2,3.0,3.2,315.0,35.0,10.3,67.0,6,0.0,11,1021.8,14.5,59,7.0,315.0,11,1019.1,14:15,1,6066.36
737927,10.2,15.4,0.4,0.6,7.1,225.0,30.0,11.8,85.0,2,247.5,9,1024.7,14.2,53,6.0,202.5,11,1025.4,1:39,1,6856.41
737928,10.0,16.0,0.0,1.8,0.7,315.0,20.0,11.4,77.0,7,45.0,9,1029.1,15.6,57,7.0,337.5,6,1026.5,11:17,1,6809.87
737929,9.8,18.5,0.0,3.6,6.7,0.0,39.0,12.5,70.0,2,0.0,15,1027.6,17.9,45,7.0,337.5,13,1024.3,14:45,1,6450.43
737930,12.0,17.0,0.0,4.0,0.2,0.0,37.0,12.7,62.0,7,0.0,17,1025.8,16.7,55,7.0,225.0,4,1026.3,1:01,1,6763.11
737931,6.2,17.7,0.0,1.6,8.9,22.5,15.0,7.2,100.0,1,22.5,11,1031.9,16.4,44,1.0,202.5,7,1028.6,8:39,1,6736.74
737932,3.6,19.2,0.0,3.0,9.3,0.0,35.0,6.8,77.0,1,22.5,7,1027.0,18.9,36,0.0,0.0,13,1023.6,12:19,1,6108.91
737933,6.1,20.2,0.0,3.4,8.8,337.5,24.0,8.7,78.0,3,22.5,11,1027.4,20.1,42,3.0,22.5,13,1024.9,13:50,1,5999.22
737934,6.8,19.9,0.0,2.6,4.8,45.0,31.0,10.7,73.0,7,45.0,9,1027.4,18.4,47,6.0,0.0,13,1023.4,12:40,1,6354.64
737935,10.6,20.9,0.0,5.6,3.2,0.0,57.0,18.4,50.0,6,22.5,20,1015.3,15.5,76,8.0,0.0,22,1009.6,12:48,1,6347.45
737936,11.9,14.7,5.0,3.4,1.4,292.5,39.0,13.1,60.0,7,292.5,11,1016.9,13.9,53,7.0,270.0,11,1019.7,5:45,1,6801.36
737937,9.8,15.0,0.4,1.6,0.6,270.0,33.0,11.3,94.0,7,202.5,4,1025.9,14.2,73,7.0,247.5,11,1025.3,14:15,1,6551.0
737938,11.0,13.8,0.4,0.4,0.5,180.0,39.0,12.2,60.0,7,180.0,15,1031.8,12.7,59,7.0,180.0,11,1032.4,7:07,1,6887.79
737939,10.4,13.1,0.0,2.0,4.1,157.5,26.0,11.3,58.0,7,157.5,6,1034.2,12.7,55,5.0,180.0,13,1032.3,14:41,1,6441.38
737941,3.0,16.1,0.0,2.2,9.1,22.5,31.0,5.7,76.0,0,22.5,11,1025.2,15.7,48,2.0,22.5,17,1021.6,15:39,1,7042.12
737796,5.7,15.7,0.0,4.0,1.3,0.0,39.0,9.2,60.0,8,22.5,13,1020.8,15.3,48,7.0,0.0,17,1019.4,11:32,1,6945.56
737827,9.2,19.6,0.0,3.2,7.7,337.5,33.0,12.4,63.0,1,0.0,9,1018.8,19.0,44,5.0,0.0,11,1015.2,13:14,1,6564.7
737855,10.4,16.9,0.2,3.4,7.5,0.0,24.0,12.2,93.0,2,45.0,7,1015.1,16.7,62,5.0,202.5,9,1012.9,1:09,1,6421.12
737886,10.0,13.6,2.0,1.2,2.0,180.0,37.0,10.9,81.0,3,225.0,7,1017.0,11.9,66,7.0,270.0,7,1018.5,15:23,1,6934.53
737916,3.8,12.9,0.0,1.4,3.5,0.0,52.0,6.7,74.0,7,0.0,11,1021.4,12.0,57,7.0,0.0,26,1017.6,14:43,1,6484.85
737947,6.7,14.7,0.0,2.6,4.2,0.0,39.0,11.0,81.0,7,0.0,17,1022.2,13.6,73,5.0,0.0,17,1019.9,12:17,1,6192.29
